iteration,pos_error_m,ori_error_rad,eff_particles,est_x,est_y,est_theta,gt_x,gt_y,gt_theta
1,9.164666165050722,0.19444762712511807,2.325130434823631,3.1749135007146276,-0.7304946424698816,-0.19456400256280837,-5.960597554281797,-5.389821774159464e-05,-0.00011637543769031625
2,11.23492351708305,0.24154977376885386,727.7200392342992,5.219613819174482,-1.1075644763634929,-0.24166689750045817,-5.960588661207516,-5.4236064999339556e-05,-0.00011712373160429629
3,12.158965052989242,0.2496398706970692,807.2289151171348,6.140855569904846,-1.1814912676994653,-0.24975809956996037,-5.96057570389394,-5.473307800459188e-05,-0.00011822887289116151
4,12.503697475165906,0.23568473990749747,777.1551352064607,6.484675478585175,-1.2077290520823962,-0.23580399796226095,-5.960563547057956,-5.519500033747728e-05,-0.00011925805476349414
5,12.581830851310636,0.21936323370763136,832.4090175781491,6.56243436248902,-1.2154875874193296,-0.2194834533202157,-5.960552211143526,-5.562815087539816e-05,-0.00012021961258433818
6,12.60546996939591,0.20385350265674337,870.1635067503316,6.585838536626017,-1.2191623946833479,-0.2039746280851014,-5.960541532383947,-5.603620117134019e-05,-0.00012112542835797922
7,12.625016002672812,0.19329712952448722,905.9047082903534,6.605089252091135,-1.2232711467556832,-0.19341927108809287,-5.960529514421892,-5.64957641950581e-05,-0.00012214156360561957
8,12.638694575258372,0.18418856558994132,902.5561450149944,6.618591398215447,-1.2258588320265467,-0.18431162589700975,-5.960518674258476,-5.6910323664793306e-05,-0.00012306030706842709
9,12.167094768166839,0.1808172848047621,506.4853015347853,6.098874770395462,-1.087379258312609,-0.1809396632007701,-6.0195378791866485,-5.688109361657949e-05,-0.00012237839600799013
10,12.474572840140729,0.26285884558140754,23.242557673604054,6.342899629846582,-1.1499864484586504,-0.26298041895098273,-6.078558791804256,-5.678835929815956e-05,-0.00012157336957518867
11,12.225821654140166,0.04927546773344557,52.18866316191698,6.0281291433517765,-1.211017050776357,-0.04939687046144216,-6.137572268027538,-5.6982068097970586e-05,-0.00012140272799658118
12,11.983974074897121,0.12533359792383508,108.4638151531579,5.721579965160504,-1.25420495254371,0.12521262603812222,-6.196588840840379,-5.7058763296427496e-05,-0.00012097188571286632
13,11.948106624899271,0.04831247243355684,60.25563261250469,5.634470539778861,-1.1762122308091516,0.048191998364264486,-6.255605611287344,-5.7036198968669185e-05,-0.00012047406929235487
14,12.467653314831153,0.05908778029685484,120.02676809360139,6.125726865645255,-1.145078345914387,0.05896694085640554,-6.289236114194176,-5.721596230489289e-05,-0.00012083944044929856
15,12.40678768624098,0.03886037696531568,51.830114339123206,6.047716417401611,-1.0495257072758364,0.038738958104937445,-6.314605270824864,-5.76666637925918e-05,-0.0001214188603782299
16,12.424736363382598,0.031356145669560305,648.1885433519243,6.070998278900726,-0.9855511854124022,-0.03147858324485542,-6.314593234350466,-5.812788135874014e-05,-0.0001224375752951122
17,12.388849963284068,0.051132624084835904,392.4742720893564,6.006594172996949,-1.2929415330987517,0.14404325421128905,-6.314658004804495,-0.0005220254361580492,0.09291063012645315
18,12.266787592254808,0.08334056774190006,64.72106930209232,5.861364054200127,-1.4891379995230878,0.17981749741827763,-6.314877190638272,-0.0014461695419073879,0.2631580651601777
19,12.335328461953896,0.11182201275922088,42.06293872209734,5.925690497191594,-1.5267184667616736,0.35322326793822595,-6.31511333227611,-0.002563004619225292,0.46504528069744683
20,12.277997365714318,0.06519589187960118,77.45772216150635,5.861009556802264,-1.5794002263186582,0.49290075155869295,-6.315344141974986,-0.0028121651050400805,0.5580966434382941
21,12.107871707776736,0.05280946174313339,46.67570122766229,5.735190529152045,-1.1710585756190797,0.691346084685261,-6.316170504433924,-0.0026175072950992582,0.7441555464283944
22,11.96476912953182,0.10802698870626504,119.29028040256043,5.605403255620984,-1.0131135755194602,0.7291461245865853,-6.316608337412046,-0.0024999507430703708,0.8371731132928504
23,12.00863744017023,0.05411947164887398,44.51797009655751,5.652200969495081,-0.9707661908514842,1.0773899036916568,-6.31731218414335,-0.002196093060537096,1.0232704320427828
24,12.201258923035441,0.010881922369492703,94.76096367204016,5.854839959506781,-0.8430415172782326,1.1054030604842595,-6.317391702760542,-0.0019139008912291353,1.1162849828537522
25,12.315111247574368,0.03202359638929763,467.3789745349805,5.965834598818393,-0.8898936138961495,1.1772748158927495,-6.317190724403548,-0.001493957648341856,1.2092984122820472
26,12.385871229295962,0.02584240808682825,652.3377229871955,6.041914263164378,-0.8217772929974918,1.3731864290028908,-6.316705206292495,-0.000600748116292599,1.399028837089719
27,12.350683211910205,0.09055084203450647,488.2297136625643,6.008284339656747,-0.7968681614514606,1.4895789291023052,-6.316703265401584,-0.0005916164502426475,1.3990280870677987
28,12.309360321172749,0.1464239931025686,630.7439345695883,5.975911746815645,-0.7424670280682014,1.545391943576227,-6.3074231886954895,0.05755445821434706,1.3989679504736583
29,12.272272598913315,0.1638612861588864,759.9654268423594,5.95555234750808,-0.6329483897905115,1.5627253658281752,-6.291083772015267,0.15988103576372334,1.3988640796692888
30,12.25407097386153,0.1645565079583926,838.2336571826206,5.948659623920838,-0.562646490081655,1.5633465206701112,-6.2796579147758615,0.2313973407226398,1.3987900127117185
31,12.245053499663216,0.16573325405688077,821.9764334533818,5.948048230764478,-0.5177389545393702,1.5644666248193126,-6.270365564439449,0.28954014142730716,1.3987333707624319
32,12.25349688374211,0.16642907886405076,855.7526747000335,5.955534264040098,-0.5323965460341783,1.56516197388821,-6.270364330000571,0.2895459386397986,1.3987328950241593
33,12.260382511367146,0.1648306789301377,864.5262086258539,5.96248335053663,-0.5317142635602937,1.5635623884125882,-6.270361263042799,0.28956034645642464,1.3987317094824505
34,12.22979965037369,0.16330583523138764,828.7669265717064,5.963237390974639,-0.38000087179303843,1.5619065489933925,-6.234347335436876,0.5070878105228647,1.398600713762005
35,12.204148856863505,0.14739573105244655,789.7991885324666,5.970293286468693,-0.19816320109654564,1.5458665780509313,-6.199435374876401,0.7177809182243693,1.3984708469984848
36,12.131912054465822,0.14424101257960031,536.3792857188573,5.978298769866935,0.275356258732559,1.542402122629992,-6.117379254979218,1.2122998090849688,1.3981611100503917
37,12.068914851384788,0.16483279274621565,380.6651256841848,5.971186403761369,0.6082617124131087,1.5627800409016923,-6.060642750169281,1.5536679217225136,1.3979472481554767
38,12.048608344290505,0.18780235682777713,629.8036997619811,5.974416181678384,0.7210018260172096,1.5856470823589315,-6.032424957815442,1.7233634798454989,1.3978447255311544
39,12.037489951649391,0.20574508947687642,658.5545473715972,5.981386497200242,0.8266025071799326,1.6035211642526654,-6.0137466033899685,1.8355357235947494,1.397776074775789
40,12.017884386166664,0.22396065832033019,739.5095689824898,5.977933887756314,0.9091394662122637,1.621667330190623,-5.994906862914399,1.9486727645472681,1.3977066718702928
41,11.971994162463222,0.28617885906461815,462.21552536886145,5.9525482166571155,1.0601744500113375,1.6624226126940458,-5.978772921930141,2.046186678107065,1.3762437536294276
42,10.602548923144825,0.42011652700462565,4.276452550436782,4.451374124778459,0.14675208957655253,1.6317176870643444,-5.9796837170413255,2.0459824516678533,1.2116011600597187
43,10.243330384773055,1.345835473263114,4.663501485652814,4.1459543425164,0.4993069539875853,-0.17982789961029735,-5.979941418306437,2.0459330925760297,1.1660075736528166
44,9.837202045066054,1.0433665242432852,32.2595620302646,3.7997525390201026,0.9883884097758071,-0.019697110345079333,-5.980469192639752,2.0456523101431956,1.0236694138982059
45,9.381861117712905,1.3578692471510925,60.493470978504405,3.2975101903136115,0.43405571021334244,-0.3342318266542638,-5.929931783042936,2.1292349515890345,1.0236374204968286
46,9.525031208407409,1.3243331914532999,480.2527686344409,3.553917941988849,0.26224919780009864,-0.30087280396393673,-5.7037412729759325,2.503223401291237,1.023460387489363
47,9.83057585782965,1.2719636815331223,542.8278746987958,3.9501318504389342,0.13909599258975872,-0.24866207060226264,-5.504056716822419,2.8332638105268466,1.0233016109308597
48,8.541748113139082,1.0133882947696828,33.12044043748827,2.9441761018762453,1.4222719011116316,0.009886272794423844,-5.4708531838662715,2.8881310172653127,1.0232745675641066
49,7.223981433846976,0.7556100868851302,464.40353016116234,1.7524678042323718,2.789946878699299,0.267663586503986,-5.470846225280214,2.8881415201644134,1.0232736733891163
50,7.222286031055398,0.7435373780900109,945.9155248440476,1.7510858173625325,2.8159713662836263,0.2797354310950525,-5.47083951609489,2.888151642979055,1.0232728091850634
51,7.23465944620301,0.7347162391367458,947.2876698206445,1.7635110007490702,2.8208720784125525,0.2885560615919085,-5.470835545851718,2.8881576357016483,1.0232723007286544
52,7.080810844127111,0.3220156502780559,41.019635473194924,1.6016766026542035,2.536452968967746,0.3542170799107921,-5.470472886153697,2.8865726888668632,0.676232730188848
53,7.342546306548639,0.047117650579131864,36.29492092750425,1.870778782055658,2.7033550601013268,0.4023204100043286,-5.4694869843997465,2.886343424796777,0.35520275942519675
54,7.419888266262341,0.09263985164737464,302.3593337922453,1.951608902307904,2.8426939590174998,0.16506848405083466,-5.4681467705498426,2.8870520350901643,0.07242863240346002
55,7.489479890265096,0.12034246552995803,208.35609546473597,2.0159829537010645,3.171614975564521,-0.3615091357923176,-5.468145169882888,2.8885332621582758,-0.24116667026235955
56,7.370958445491154,0.1364793087486686,23.90370202581841,1.8703055188132742,3.5769227314001633,-0.3941200195882934,-5.468570706639281,2.8899553721722055,-0.530599328336962
57,7.246985456323342,0.36779912824800054,37.06788729446283,1.774476729929265,3.1077436662475715,-1.0593625409193081,-5.46923262115333,2.88986057557595,-0.6915634126713076
58,7.076070902098729,0.20321351538579135,22.336719568069395,1.6027187656192163,3.1097164153143804,-1.0417534107733943,-5.469929962254787,2.889672366018419,-0.838539895387603
59,6.757191599522184,0.08027770876772944,73.6553593196429,1.2856614636152988,2.778277341634699,-0.9303914310054126,-5.470616252200769,2.8894067230798233,-1.010669139773142
